State,StateCode,Lat,Lon,Zoom
United States of America,USA,38,-96,3.5
Alabama,AL,32.806671,-86.79113,6
Arizona,AZ,34.229759,-111.431221,5.9
Arkansas,AR,34.969704,-92.373123,6.2
California,CA,36.816203,-119.681564,4.9
Colorado,CO,39.059811,-105.311104,5.8
Connecticut,CT,41.597782,-72.755371,7.5
Delaware,DE,39.318523,-75.507141,7.5
District of Columbia,DC,38.897438,-77.026817,10.5
Florida,FL,27.766279,-83.486783,5.7
Georgia,GA,33.040619,-83.643074,6
Idaho,ID,45.640459,-114.478828,5.3
Illinois,IL,38.349457,-88.986137,5.7
Indiana,IN,39.849426,-86.258278,6
Iowa,IA,42.011539,-93.210526,6
Kansas,KS,38.5266,-97.726486,6
Kentucky,KY,37.66814,-84.670067,6
Louisiana,LA,31.169546,-91.867805,6
Maine,ME,45.193947,-69.381927,6
Maryland,MD,39.063946,-77.002101,7
Massachusetts,MA,42.230171,-71.530106,7.5
Michigan,MI,43.326618,-84.536095,5.7
Minnesota,MN,45.694454,-93.900192,5.7
Mississippi,MS,32.741646,-89.678696,6
Missouri,MO,38.456085,-92.288368,6
Montana,MT,46.921925,-110.454353,5.7
Nebraska,NE,41.12537,-99.268082,6
Nevada,NV,38.313515,-117.055374,5.7
New Hampshire,NH,43.752492,-71.563896,6.9
New Jersey,NJ,40.108904,-74.521011,7
New Mexico,NM,34.840515,-106.248482,5.7
New York,NY,42.665726,-74.948051,6
North Carolina,NC,35.630066,-79.806419,6
North Dakota,ND,47.528912,-99.784012,6
Ohio,OH,40.388783,-82.764915,6
Oklahoma,OK,35.565342,-96.928917,6
Oregon,OR,44.32021,-121.570938,6
Pennsylvania,PA,40.590752,-77.209755,6
Rhode Island,RI,41.680893,-71.51178,8.5
South Carolina,SC,33.856892,-80.945007,6
South Dakota,SD,44.299782,-99.438828,6
Tennessee,TN,35.747845,-86.692345,6
Texas,TX,31.254487,-97.563461,5
Utah,UT,40.150032,-111.862434,5.7
Vermont,VT,44.045876,-72.710686,6.9
Virginia,VA,37.769337,-78.569968,6
Washington,WA,47.400902,-121.490494,6
West Virginia,WV,38.491226,-80.954453,6
Wisconsin,WI,44.718543,-89.616508,6
Wyoming,WY,42.755966,-107.30249,6
